[16:44:17] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_train/data_train.rec, use 4 threads for decoding..
[16:44:28] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: /home/wangyuanwen/data/mxnet_train_recdata_64/mx_val/data_val.rec, use 4 threads for decoding..
[16:44:34] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (set the environment variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
/home/wangyuanwen/anaconda3/lib/python3.7/site-packages/mxnet/module/base_module.py:504: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.015625). Is this intended?
  optimizer_params=optimizer_params)
INFO:root:Epoch[0] Batch [0-50]	Speed: 5643.21 samples/sec	acc=0.575368
INFO:root:Epoch[0] Batch [50-100]	Speed: 5710.13 samples/sec	acc=0.771250
INFO:root:Epoch[0] Batch [100-150]	Speed: 6332.84 samples/sec	acc=0.856563
INFO:root:Epoch[0] Batch [150-200]	Speed: 5493.30 samples/sec	acc=0.938438
INFO:root:Epoch[0] Batch [200-250]	Speed: 5290.93 samples/sec	acc=0.939375
INFO:root:Epoch[0] Batch [250-300]	Speed: 6585.16 samples/sec	acc=0.961250
INFO:root:Epoch[0] Batch [300-350]	Speed: 6860.73 samples/sec	acc=0.964063
INFO:root:Epoch[0] Batch [350-400]	Speed: 6754.07 samples/sec	acc=0.974063
INFO:root:Epoch[0] Batch [400-450]	Speed: 6209.56 samples/sec	acc=0.975313
INFO:root:Epoch[0] Batch [450-500]	Speed: 5373.89 samples/sec	acc=0.976562
INFO:root:Epoch[0] Batch [500-550]	Speed: 5968.12 samples/sec	acc=0.972812
INFO:root:Epoch[0] Batch [550-600]	Speed: 5701.91 samples/sec	acc=0.980313
INFO:root:Epoch[0] Batch [600-650]	Speed: 4994.55 samples/sec	acc=0.978125
INFO:root:Epoch[0] Batch [650-700]	Speed: 5583.58 samples/sec	acc=0.973750
INFO:root:Epoch[0] Batch [700-750]	Speed: 5932.96 samples/sec	acc=0.980938
INFO:root:Epoch[0] Batch [750-800]	Speed: 5641.25 samples/sec	acc=0.978437
INFO:root:Epoch[0] Batch [800-850]	Speed: 4886.78 samples/sec	acc=0.975313
INFO:root:Epoch[0] Batch [850-900]	Speed: 6193.69 samples/sec	acc=0.973437
INFO:root:Epoch[0] Batch [900-950]	Speed: 6558.89 samples/sec	acc=0.979375
INFO:root:Epoch[0] Batch [950-1000]	Speed: 6270.99 samples/sec	acc=0.980313
INFO:root:Epoch[0] Batch [1000-1050]	Speed: 5767.74 samples/sec	acc=0.977187
INFO:root:Epoch[0] Batch [1050-1100]	Speed: 6469.60 samples/sec	acc=0.980000
INFO:root:Epoch[0] Batch [1100-1150]	Speed: 5328.74 samples/sec	acc=0.979375
INFO:root:Epoch[0] Batch [1150-1200]	Speed: 6159.07 samples/sec	acc=0.970313
INFO:root:Epoch[0] Batch [1200-1250]	Speed: 5508.66 samples/sec	acc=0.979062
INFO:root:Epoch[0] Batch [1250-1300]	Speed: 6185.69 samples/sec	acc=0.979688
INFO:root:Epoch[0] Batch [1300-1350]	Speed: 6037.25 samples/sec	acc=0.983437
INFO:root:Epoch[0] Batch [1350-1400]	Speed: 5452.50 samples/sec	acc=0.980000
INFO:root:Epoch[0] Batch [1400-1450]	Speed: 5166.40 samples/sec	acc=0.980625
INFO:root:Epoch[0] Batch [1450-1500]	Speed: 4928.20 samples/sec	acc=0.980000
INFO:root:Epoch[0] Batch [1500-1550]	Speed: 5783.04 samples/sec	acc=0.978750
INFO:root:Epoch[0] Batch [1550-1600]	Speed: 6269.88 samples/sec	acc=0.980625
INFO:root:Epoch[0] Batch [1600-1650]	Speed: 5521.95 samples/sec	acc=0.981563
INFO:root:Epoch[0] Batch [1650-1700]	Speed: 5742.16 samples/sec	acc=0.984375
INFO:root:Epoch[0] Batch [1700-1750]	Speed: 5024.62 samples/sec	acc=0.978750
INFO:root:Epoch[0] Batch [1750-1800]	Speed: 5110.32 samples/sec	acc=0.984688
INFO:root:Epoch[0] Batch [1800-1850]	Speed: 5572.61 samples/sec	acc=0.981250
INFO:root:Epoch[0] Batch [1850-1900]	Speed: 7914.55 samples/sec	acc=0.985938
INFO:root:Epoch[0] Batch [1900-1950]	Speed: 5913.49 samples/sec	acc=0.986250
INFO:root:Epoch[0] Batch [1950-2000]	Speed: 5465.27 samples/sec	acc=0.977500
INFO:root:Epoch[0] Batch [2000-2050]	Speed: 6336.19 samples/sec	acc=0.980313
INFO:root:Epoch[0] Batch [2050-2100]	Speed: 6384.95 samples/sec	acc=0.984062
INFO:root:Epoch[0] Batch [2100-2150]	Speed: 4959.96 samples/sec	acc=0.983125
INFO:root:Epoch[0] Batch [2150-2200]	Speed: 5624.64 samples/sec	acc=0.980938
INFO:root:Epoch[0] Batch [2200-2250]	Speed: 5163.88 samples/sec	acc=0.983125
INFO:root:Epoch[0] Batch [2250-2300]	Speed: 5813.26 samples/sec	acc=0.981250
INFO:root:Epoch[0] Batch [2300-2350]	Speed: 6255.23 samples/sec	acc=0.984375
INFO:root:Epoch[0] Batch [2350-2400]	Speed: 6566.13 samples/sec	acc=0.982812
INFO:root:Epoch[0] Batch [2400-2450]	Speed: 5512.04 samples/sec	acc=0.982812
INFO:root:Epoch[0] Batch [2450-2500]	Speed: 5880.69 samples/sec	acc=0.981875
